"","Stream_name","Gap_number","Gap_location","Date","Ash","Aspen","Basswood","Beech","Birch","Black Cherry","Black Walnut","Box Elder","Buckthorn","Dogwood","Elm","European Alder","Grass","Hawthorn","Maple","Oak","Pine Needles","Poplar","Unknown","Water bug","Willow","Woody Debris","Totalmass"
"1","Augusta Creek","I","Downstream","11/12/16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,3.45
"2","Augusta Creek","I","Downstream","2/4/17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,0,0,0,1.59,0,0,0,3.98
"3","Augusta Creek","I","Downstream","8/30/16",0,0,0.44,0,0,0.14,0,0,0,0,0,0,0,0,0.23,0.85,0,0,0.33,0,0,0,1.99
"4","Augusta Creek","I","Gap","11/12/16",0,0,0,0,0,0.08,0,0,0.16,0,0.43,0,0,0,0,0.18,0,1.26,1.81,0,0,0,3.92
"5","Augusta Creek","I","Gap","2/4/17",0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,4.14,0,0,2.51,0,0,0.12,6.78
"6","Augusta Creek","I","Gap","8/30/16",0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0.28,0,0.02,0,1.52
"7","Augusta Creek","I","Upstream","11/12/16",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.83,0.41,0,1.46,5.48,0,0,0,8.68
"8","Augusta Creek","I","Upstream","2/4/17",0,0.08,1.05,0,0.12,0,0,0,0,0,0.69,0,0,0,0,1.71,0,0,0.62,0,0,0,4.27
"9","Augusta Creek","I","Upstream","8/30/16",0,0,1.97,0,0,0.17,0,0,0,0,0.08,0,0,0,0.39,0.25,0,0,1.44,0,0,0,4.3
"10","Augusta Creek","II","Downstream","11/12/16",0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0.24,1.81,0,0,0.98,0,0,0,3.54
"11","Augusta Creek","II","Downstream","2/4/17",0,0,1.22,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,3.19
"12","Augusta Creek","II","Downstream","8/30/16",0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71,0.08,0,0.45,3.55
"13","Augusta Creek","II","Gap","11/12/16",0,0,0,0,0,0,0,0,0.04,0,0.37,0,0,0,0.35,1.34,0,0,0.86,0,0,0,2.96
"14","Augusta Creek","II","Gap","2/4/17",0.12,0,0.58,0,0.42,0,0,0,0,0,0,0,0,0,0,0.94,0,0,1.56,0,0,0,3.62
"15","Augusta Creek","II","Gap","8/30/16",0,0,0,0,0,0.13,0,0,0,0,0,2.52,0,0,0,0,0,0,0.19,0,0,0,2.84
"16","Augusta Creek","II","Gap","9/25/15",0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0.24,0,0,0.49,0,0,0,0.84
"17","Frayer Creek","I","Downstream","11/20/16",0,0.13,0,0.21,0,0,0.21,0,0,0,0.27,0,0,0,0.93,1.91,0,0,3.05,0,0,0,6.71
"18","Frayer Creek","I","Downstream","2/12/17",0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,2.38,0,0,4,0,0,0,6.46
"19","Frayer Creek","I","Downstream","8/30/16",0,0,0.4,0,0.1,0,0,0,0,0.16,0.47,0,0,0,0,0,0,0,1.18,0,0,0,2.31
"20","Frayer Creek","I","Gap","11/20/16",0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,4.2,0,0,0,9.21
"21","Frayer Creek","I","Gap","2/12/17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,15.42,0,0,0,18.62
"22","Frayer Creek","I","Gap","8/30/16",0,0,2.92,0,0,0.59,0,0,0,0,0.19,0,0,0,0,0,0,0,3.62,0,0,0,7.32
"23","Frayer Creek","I","Upstream","11/20/16",0,0,0,0.43,0,0,0.16,0,0,0,0.44,0,0,0,0.16,4.11,0,0,0.04,0,0,0,5.34
"24","Frayer Creek","I","Upstream","2/12/17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.37,0,0,4.8,0,0,1.6,20.77
"25","Frayer Creek","I","Upstream","8/30/16",0,0,0,0.23,0.14,0,0,0,0.06,0,0.17,0,0,0,0.46,0.23,0,0,0.4,0,0,0,1.69
"26","Frayer Creek","II","Downstream","11/20/16",0,0,0,0.51,0,0,0,0,0,0,0.16,0,0,0,0,3.55,0,0,0.26,0,0,0,4.48
"27","Frayer Creek","II","Downstream","2/12/17",0,0.5,0,0,0,0,0,0,0,0,0,0,1.49,0,0,2.07,0,0,1,0,0,0,5.06
"28","Frayer Creek","II","Downstream","8/30/16",0,0,0,0,0,0.25,0,0,0,0,0.24,0.24,0,0,0,0,0,0,1.05,0,0,0.68,2.46
"29","Frayer Creek","II","Gap","11/20/16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,0,0,3.48
"30","Frayer Creek","II","Gap","8/30/16",0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,2.2,0,0,0,1.51,0,0,0,4.27
"31","Frayer Creek","II","Upstream","2/12/17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0,0,6.41,0,0,0,9.45
"32","Sessions Creek","I","Gap","1/15/17",0,0,0,0.75,0.12,0.04,0,0,0,0,1.49,0,0.11,0,1.13,12.3,0,0,3.75,0,0,0,19.69
"33","Sessions Creek","I","Gap","10/23/16",0,0,0.35,0,0,0.18,0,0,0,0,0,0,0,0,2.83,0,0,0,0.23,0,0,0,3.59
"34","Sessions Creek","I","Gap","9/3/16",0.73,0,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0.13,0,0,0,2.88
"35","Sessions Creek","I","Upstream","1/15/17",0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.38,2.01,0,0,0.45,0,0,0,2.94
"36","Sessions Creek","I","Upstream","10/23/16",0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,2.62,1.3,0,0,0.07,0,0,0,4.38
"37","Sessions Creek","I","Upstream","9/3/16",0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,1.02,0,0,0,0.09,0,0,0,1.23
"38","Sessions Creek","II","Downstream","1/15/17",0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0.17,2.86,0,0,1.4,0,0,0,4.84
"39","Sessions Creek","II","Downstream","10/23/16",0,0,0.68,0,0,0.31,0,0,0,0,0,0,0,0,2.88,0,0,0,0.88,0,0,0,4.75
"40","Sessions Creek","II","Downstream","9/3/16",0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,1.12,0,0,0,0.58,0,0,0,1.99
"41","Sessions Creek","II","Gap","1/15/17",0,0,0,0.19,0,0,0,0,0,0,0.44,0,0,0,0,3.57,0,0,7.43,0,0,0.23,11.86
"42","Sessions Creek","II","Gap","10/23/16",0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89,0.99,0,0,0.01,0,0,0,3.98
"43","Sessions Creek","II","Gap","9/3/16",0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,2.71,0,0,0,0.01,0,0,0,2.81
"44","Seven Mile Creek","I","Downstream","12/19/16",0,0,0,0.09,0,0,0,0,0,0,0.69,0,0,0,1,2.79,0,0,1.12,0,0,0,5.69
"45","Seven Mile Creek","I","Downstream","3/3/17",0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0.57,1.98,0,0,2,0,0,0,5.8
"46","Seven Mile Creek","I","Downstream","8/30/16",0,0,0,1.11,0,0.07,0,0,0,0.03,1.01,0,0,0,0.03,0.42,0,0,0.47,0,0,0,3.14
"47","Seven Mile Creek","I","Gap","12/19/16",0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0.3,5.47,0,0,1.56,0,0,0,7.46
"48","Seven Mile Creek","I","Gap","3/3/17",0,0,0,0.65,0.23,0,0,0,0,0,0,0,0,0,0.79,3.57,0,0,2,0,0,0,7.24
"49","Seven Mile Creek","I","Gap","8/30/16",0.12,0,0,0.09,0.44,0,0,0,0,0,0,0,0,0,0.27,0.24,0,0,0.73,0,0,0,1.89
"50","Seven Mile Creek","I","Upstream","10/23/15",0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0.88
"51","Seven Mile Creek","I","Upstream","12/19/16",0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0.41,4.7,0,0,0.95,0,0,0,6.28
"52","Seven Mile Creek","I","Upstream","3/3/17",0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0.16,5.24,0,0,1.15,0,0,0,7.51
"53","Seven Mile Creek","I","Upstream","8/30/16",0,0,0,0.3,0,0,0,0,0,0,0,0,0.02,0,0.71,0.84,0,0,0.08,0,0,0,1.95
"54","Seven Mile Creek","II","Downstream","10/23/15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.24,0,0,0.12,0,0,0,1.35
"55","Seven Mile Creek","II","Downstream","12/19/16",0,0,0,2.23,0,0,0,0,0,0,0,0,0,0,0.41,4.95,0,0,0.01,0,0,0,7.6
"56","Seven Mile Creek","II","Downstream","3/3/17",0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.2,2,0,0,1.93,0,0,0,4.95
"57","Seven Mile Creek","II","Downstream","8/30/16",0.14,0,0.37,0,1,0.15,0,0,0,0.06,1.09,0,0,0,0,0,0,0,1.05,0,0,0,3.86
"58","Seven Mile Creek","II","Gap","12/19/16",0,0,0,0.92,0,0,0,0,0,0,0.15,0,0,0,0.5,4.96,0,0,0.74,0,0,0,7.27
"59","Seven Mile Creek","II","Gap","3/3/17",0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0.12,2.88,0,0,0.55,0,0,0,4.85
"60","Seven Mile Creek","II","Gap","8/30/16",0,0,1.36,0,0.14,0,0,0,0,0,0.28,0,0.04,0,0,0,0,0,0.94,0,0,0.16,2.92
"61","Seven Mile Creek","II","Gap","9/21/15",0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56
"62","Seven Mile Creek","II","Upstream","12/19/16",0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,5.74,0,0,1.16,0,0,0,7.38
"63","Seven Mile Creek","II","Upstream","3/3/17",0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0.17,3.64,0,0,0,7.47
"64","Seven Mile Creek","II","Upstream","8/30/16",0.16,0,0,0.28,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.01,0,0,0.18,1.61
"65","Spring Brook","I","Gap","1/8/17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0,0,3.63
"66","Spring Brook","I","Gap","12/3/16",0.11,0,0.32,0,0,0.38,0,0,0,0,0.11,0,0.02,0,0,0.67,0.07,0,2.19,0,0.61,0,4.48
"67","Spring Brook","I","Gap","8/30/16",0,0,0.31,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,1.42
"68","Spring Brook","I","Gap","Year 2015",0.16,0,0.42,0,0,0.15,0,0,0,0,0,0,0,0,0.33,0,0,0.05,0.26,0,0,0,1.37
"69","Spring Brook","I","Upstream","1/8/17",0,0,0,0.1,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,4.63,0,0,0,4.82
"70","Spring Brook","I","Upstream","10/19/15",0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0.67
"71","Spring Brook","I","Upstream","12/3/16",0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,1.47,0,0,2.45,0,0.07,0,4.22
"72","Spring Brook","I","Upstream","Year 2015",0,0,0.09,0,0,0.21,0,0,0,0,0,0,0,0,0.09,0,0,0,0.61,0,0.02,0,1.02
"73","Spring Brook","II","Downstream","1/8/17",0,0,0.67,0,0,0.08,0,0,0,0,0,0,0,0,0,0.28,0,0,1.17,0,0.05,0.67,2.92
"74","Spring Brook","II","Downstream","10/19/15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0.21
"75","Spring Brook","II","Downstream","12/3/16",0,0,0,0.21,0,0.06,0,0,0,0,0,0,0,0,0.18,1.41,0,0,1.71,0,0,0,3.57
"76","Spring Brook","II","Downstream","8/30/16",0.18,0,1.27,0,0,0.56,0,0,0,0,0.44,0,0,0,0,0,0,0,1.33,0,0.23,0,4.01
"77","Spring Brook","II","Gap","1/8/17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,2.74
"78","Spring Brook","II","Gap","12/3/16",0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,3.26,0,0,1.37,0,0.17,0,5.25
"79","Spring Brook","II","Gap","8/30/16",0.44,0,0.29,0,0,0.41,0,0,0,0,0.47,0,0,0,0.39,0,0,0,0.31,0,0.05,0,2.36
"80","Spring Brook","II","Gap","Year 2015",0.08,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0.62
"81","Spring Creek","I","Downstream","1/28/17",0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,2.71,0,0,0,4.4
"82","Spring Creek","I","Downstream","12/3/16",0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0.61,1.52,0,0,0.72,0,0,0,3.07
"83","Spring Creek","I","Downstream","8/29/16",2.11,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.68,0,0,0,1.37,0,0,0,4.2
"84","Spring Creek","I","Gap","1/28/17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,0,0,5.77,0,0,0,7.4
"85","Spring Creek","I","Gap","12/3/16",0.28,0,0.46,0,0,0,0,0,0,0,0.23,0,0,0,0,1.3,0,0,0.58,0,0,0,2.85
"86","Spring Creek","I","Gap","8/29/16",0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0.11,0,0,0,1.53,0,0,0,2.12
"87","Spring Creek","I","Upstream","1/28/17",0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,5,0,0,2.54,8.59
"88","Spring Creek","I","Upstream","12/3/16",0,0.22,0,0,0.37,1.2,0,0,0,0,0,0,0,0,0,0.57,0,0.39,1.12,0,0,0,3.87
"89","Spring Creek","I","Upstream","8/29/16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,2.18,0,0,0,2.21
"90","Spring Creek","II","Downstream","1/28/17",0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,2.33,0,0,1.7,0,0,0.57,4.9
"91","Spring Creek","II","Downstream","10/31/15",0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,1.04,0,0,0,0,0,0,1.43
"92","Spring Creek","II","Downstream","12/3/16",0,0,0,0,0.94,0.06,0,0,0,0,0,0,0,0,0.23,0.7,0,0,1.21,0,0,0,3.14
"93","Spring Creek","II","Downstream","8/29/16",0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0.29,0,0,0,1.04
"94","Spring Creek","II","Gap","1/28/17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,3,0,0,0,3.7
"95","Spring Creek","II","Gap","12/3/16",1.46,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0.34,0.37,0,0,0.56,0,0,0,3.07
"96","Spring Creek","II","Gap","8/29/16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0.71,0,0,0.56,1.76
"97","Spring Creek","II","Upstream","1/28/17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,2.96,0,0,0,4.99
"98","Spring Creek","II","Upstream","12/3/16",1.83,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0.96,0,0,0,4.49
"99","Spring Creek","II","Upstream","8/29/16",0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,2.28
"100","Stoney Creek","I","Downstream","12/4/16",0,0,0,0,0,0.07,0,0,0,0,0,0,0.52,0,0,2.3,0,0,3.53,0,0,0,6.42
"101","Stoney Creek","I","Downstream","2/11/17",0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,3.59,0,0,11.42,0,0,0,15.12
"102","Stoney Creek","I","Downstream","9/18/16",0,0,0,0,0,0,0,0,0,0,0,0,0.03,1.06,0.35,1.75,0,0,1.11,0,0,0,4.3
"103","Stoney Creek","I","Gap","12/4/16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,1.01,0,0,5.28,0,0,0,6.73
"104","Stoney Creek","I","Gap","2/11/17",0,0,0,0.36,0,0.11,0,0,0,0,0,0,1.01,0,0,1.62,0,0.35,2,0,0,0,5.45
"105","Stoney Creek","I","Gap","9/18/16",0.23,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0.42,0,0,0,2.9
"106","Stoney Creek","I","Gap","9/26/15",0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0.29,0,0,0,0,0,0,0.71
"107","Stoney Creek","I","Upstream","12/4/16",0.21,0,2.61,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,2.93,0,0,0,5.83
"108","Stoney Creek","I","Upstream","12/5/15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0.45,0,0,0,2.41
"109","Stoney Creek","I","Upstream","2/11/17",0,0,0,0,0,0.35,0,0,0,0,0,0,0.16,0,0.33,0.98,0,0,6.15,0,0,0,7.97
"110","Stoney Creek","I","Upstream","9/18/16",0,0.05,0.68,0,0.18,0,0,0.77,0,0,0,0,0,0,0,0.31,0,0,1.15,0,0,0,3.14
"111","Stoney Creek","II","Downstream","12/4/16",0,0.42,0.81,0,0,0,0,0,0,0,0.33,0,0,0,0,1.96,0,0,1.73,0,0,0,5.25
"112","Stoney Creek","II","Downstream","12/5/15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,1.36
"113","Stoney Creek","II","Downstream","2/11/17",0.49,0,0.88,0,0,0.22,0,0,0,0,0.17,0,1.81,0,1.23,1.21,0,0,6.59,0,0,0,12.6
"114","Stoney Creek","II","Downstream","8/28/15",0,0,0.34,0,0,0,0,0,0.14,0,0.21,0,0,0,0,0,0,0,0.37,0,0,0,1.06
"115","Stoney Creek","II","Downstream","9/18/16",0,0,0,0,0,0,0,0,0.11,0,0.17,0,0,0,0,0.24,0,0,1.24,0,0,0.78,2.54
"116","Stoney Creek","II","Gap","12/4/16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,5.24,0,0,0,5.49
"117","Stoney Creek","II","Gap","2/11/17",0.37,0,2,0,0,0.11,0,0.4,0,0,0.46,0,1.81,0,0,1.84,0,0.11,7.61,0,0,0,14.71
"118","Stoney Creek","II","Gap","9/18/16",0.58,0,0.14,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,1.15,0,0,1.07,2.96
"119","Trout Creek","I","Gap","1/7/17",0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,3.43,0,0,11.34,0,0,0,16.81
"120","Trout Creek","I","Gap","12/10/16",0,0,0,0,0,0.19,0,0,0,0,0.82,0,0,0,0,0,0,0,1.77,0,1.08,0,3.86
"121","Trout Creek","I","Gap","9/17/16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,1.12,0,0,0,1.2
"122","Trout Creek","I","Gap","9/26/15",0,0,0,0,0,0,0,0,0,0,1.21,0,0.09,0,0,0,0,0,0,0,0,0,1.3
"123","Trout Creek","I","Upstream","1/7/17",0,0,0,0,0,6.87,0,0,0,0,1.53,0,0,0,0,0,0,0,32.47,0,0,0,40.87
"124","Trout Creek","I","Upstream","12/10/16",0,0,0,0,0,0.41,0,0,0,0,0.58,0,0,0,0,0,0,0,3.92,0,0.13,0,5.04
"125","Trout Creek","I","Upstream","9/17/16",0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0,0,0.11,0,0,0,2.02
"126","Trout Creek","I","Upstream","9/26/15",0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0.15,0,0,0,0.39
"127","Trout Creek","II","Downstream","1/7/17",0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,4.37,0,0,0,8.65
"128","Trout Creek","II","Downstream","11/7/15",0,0,0,0.04,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,1.21,0,0,0,1.42
"129","Trout Creek","II","Downstream","12/10/16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,0,0,1.69,0,0.13,0,4.4
"130","Trout Creek","II","Downstream","9/17/16",0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,1.54,0,0,0,1.9
"131","Trout Creek","II","Gap","12/10/16",0.67,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,2.51,0,0,0.49,0,0.16,0,3.97
